; Таблица для конвертирования шрифтов из альтернативной в Ventura Publisher
; латиница
33   33 ;   !
34   34 ;   "
35   35 ;   #
36   36 ;   $
37   37 ;   %
38   38 ;   &
39   39 ;   '
40   40 ;   (
41   41 ;   )
42   42 ;   *
43   43 ;   +
44   44 ;   ,
45   45 ;   -
46   46 ;   .
47   47 ;   /
48   48 ;   0
49   49 ;   1
50   50 ;   2
51   51 ;   3
52   52 ;   4
53   53 ;   5
54   54 ;   6
55   55 ;   7
56   56 ;   8
57   57 ;   9
58   58 ;   :
59   59 ;   ;
60   60 ;   <
61   61 ;   =
62   62 ;   >
63   63 ;   ?
64   64 ;   @
65   65 ;   A
66   66 ;   B
67   67 ;   C
68   68 ;   D
69   69 ;   E
70   70 ;   F
71   71 ;   G
72   72 ;   H
73   73 ;   I
74   74 ;   J
75   75 ;   K
76   76 ;   L
77   77 ;   M
78   78 ;   N
79   79 ;   O
80   80 ;   P
81   81 ;   Q
82   82 ;   R
83   83 ;   S
84   84 ;   T
85   85 ;   U
86   86 ;   V
87   87 ;   W
88   88 ;   X
89   89 ;   V
90   90 ;   Z
91   91 ;   [
92   92 ;   \
93   93 ;   ]
94   94 ;   ^
95   95 ;   _
96   96 ;   `
97   97 ;   a
98   98 ;   b
99   99 ;   c
100 100 ;   d
101 101 ;   e
102 102 ;   f
103 103 ;   g
104 104 ;   h
105 105 ;   i
106 106 ;   j
107 107 ;   k
108 108 ;   l
109 109 ;   m
110 110 ;   n
111 111 ;   o
112 112 ;   p
113 113 ;   q
114 114 ;   r
115 115 ;   s
116 116 ;   t
117 117 ;   u
118 118 ;   v
119 119 ;   w
120 120 ;   x
121 121 ;   y
122 122 ;   z
123 123 ;   {
124 124 ;   |
125 125 ;   }
126 126 ;   ~

; кириллица
175 161 ;   п
226 163 ;   т
227 164 ;   у
228 165 ;   ф
231 166 ;   ч
232 167 ;   ш
240 168 ;   Copyright
241 169 ;   Reserved
242 170 ;   Trade Mark
238 173 ;   ю
128 180 ;   А
135 181 ;   З
165 182 ;   е
164 183 ;   д
168 185 ;   и
158 186 ;   Ю
156 187 ;   Ь
157 188 ;   Э
244 189 ;   параграф
159 190 ;   Я
155 191 ;   Ы
131 192 ;   Г
136 193 ;   И
147 194 ;   У
150 195 ;   Ц
160 196 ;   а
130 197 ;   В
162 198 ;   в
163 199 ;   г
133 200 ;   Е
138 201 ;   К
149 202 ;   Х
151 203 ;   Ч
132 204 ;   Д
137 205 ;   Й
148 206 ;   Ф
129 207 ;   Б
143 208 ;   П
140 209 ;   М
171 210 ;   л
146 211 ;   Т
134 212 ;   Ж
161 213 ;   б
172 214 ;   м
145 215 ;   С
142 216 ;   О
141 217 ;   Н
153 218 ;   Щ
154 219 ;   Ъ
144 220 ;   Р
139 221 ;   Л
235 223 ;   ы
246 224 ;   Ў
224 225 ;   р
169 226 ;   й
230 229 ;   ц
229 230 ;   х
234 231 ;   ъ
233 232 ;   щ
225 233 ;   с
170 234 ;   к
236 235 ;   ь
237 236 ;   э
239 237 ;   я
152 239 ;   Ш
174 240 ;   о
173 241 ;   н
243 244 ;   Номер
166 249 ;   ж
167 250 ;   з
247 251 ;   <<
248 253 ;   >>
