60 12
 Fo Kpol Kvn KPD SINЛ ЛИН,кГ Fo1 Kpol1 Kvn1 KPD1 SINЛ1 ЛИН1,кГ
 0.0601 0.25   0.823  0.304  0.45   0.66   0.0601 0.25   0.823  0.304  0.45   0.66  
 0.0589 0.39   0.877  0.444  0.36   0.65   0.0589 0.39   0.877  0.444  0.36   0.65  
 0.0577 0.518  0.93   0.557  0.26   0.6    0.0577 0.518  0.93   0.557  0.26   0.6   
 0.0557 0.651  0.995  0.654  0.2    0.55   0.0557 0.651  0.995  0.654  0.2    0.55  
 0.052  0.818  1.083  0.755  0.25   0.35   0.052  0.818  1.083  0.755  0.25   0.35  
 0.0453 0.986  1.207  0.817  0.33   0.2    0.0453 0.986  1.207  0.817  0.33   0.2   
 0.0401 1.064  1.312  0.811  0.39   0.2    0.0401 1.064  1.312  0.811  0.39   0.2   
 0.0356 1.11   1.406  0.789  0.35   0.3    0.0356 1.11   1.406  0.789  0.35   0.3   
 0.0312 1.135  1.494  0.76   0.23   0.56   0.0312 1.135  1.494  0.76   0.23   0.56  
 0.0312 1.135  1.494  0.76   0.23   0.56   0.0312 1.135  1.494  0.76   0.23   0.56  
 0.0601 0.25   0.823  0.304  0.45   0.66   0.0601 0.25   0.823  0.304  0.45   0.66  
 0.0589 0.39   0.877  0.444  0.36   0.65   0.0589 0.39   0.877  0.444  0.36   0.65  
 0.0577 0.518  0.93   0.557  0.26   0.6    0.0577 0.518  0.93   0.557  0.26   0.6   
 0.0557 0.651  0.995  0.654  0.2    0.55   0.0557 0.651  0.995  0.654  0.2    0.55  
 0.052  0.818  1.083  0.755  0.25   0.35   0.052  0.818  1.083  0.755  0.25   0.35  
 0.0453 0.986  1.207  0.817  0.33   0.2    0.0453 0.986  1.207  0.817  0.33   0.2   
 0.0401 1.064  1.312  0.811  0.39   0.2    0.0401 1.064  1.312  0.811  0.39   0.2   
 0.0356 1.11   1.406  0.789  0.35   0.3    0.0356 1.11   1.406  0.789  0.35   0.3   
 0.0312 1.135  1.494  0.76   0.23   0.56   0.0312 1.135  1.494  0.76   0.23   0.56  
 0.0312 1.135  1.494  0.76   0.23   0.56   0.0312 1.135  1.494  0.76   0.23   0.56  
 0.0601 0.25   0.823  0.304  0.45   0.66   0.0601 0.25   0.823  0.304  0.45   0.66  
 0.0589 0.39   0.877  0.444  0.36   0.65   0.0589 0.39   0.877  0.444  0.36   0.65  
 0.0577 0.518  0.93   0.557  0.26   0.6    0.0577 0.518  0.93   0.557  0.26   0.6   
 0.0557 0.651  0.995  0.654  0.2    0.55   0.0557 0.651  0.995  0.654  0.2    0.55  
 0.052  0.818  1.083  0.755  0.25   0.35   0.052  0.818  1.083  0.755  0.25   0.35  
 0.0453 0.986  1.207  0.817  0.33   0.2    0.0453 0.986  1.207  0.817  0.33   0.2   
 0.0401 1.064  1.312  0.811  0.39   0.2    0.0401 1.064  1.312  0.811  0.39   0.2   
 0.0356 1.11   1.406  0.789  0.35   0.3    0.0356 1.11   1.406  0.789  0.35   0.3   
 0.0312 1.135  1.494  0.76   0.23   0.56   0.0312 1.135  1.494  0.76   0.23   0.56  
 0.0312 1.135  1.494  0.76   0.23   0.56   0.0312 1.135  1.494  0.76   0.23   0.56  
 0.0601 0.25   0.823  0.304  0.45   0.66   0.0601 0.25   0.823  0.304  0.45   0.66  
 0.0589 0.39   0.877  0.444  0.36   0.65   0.0589 0.39   0.877  0.444  0.36   0.65  
