48 4
  n,ob/min         КПД     N,kWt     N,л.с.
     0.000        0.000    28.421     0.000
  2000.000        5.817    27.776     3.682
  4000.000       11.366    27.135     7.193
  6000.000       16.648    26.497    10.536
  8000.000       21.666    25.862    13.711
 10000.000       26.420    25.230    16.720
 12000.000       30.914    24.601    19.564
 14000.000       35.148    23.974    22.244
 16000.000       39.125    23.351    24.760
 18000.000       42.846    22.731    27.115
 20000.000       46.314    22.113    29.309
 22000.000       49.528    21.498    31.344
 24000.000       52.492    20.886    33.219
 26000.000       55.206    20.276    34.937
 28000.000       57.672    19.669    36.498
 30000.000       59.891    19.064    37.902
 32000.000       61.864    18.461    39.150
 34000.000       63.592    17.860    40.244
 36000.000       65.076    17.262    41.183
 38000.000       66.317    16.665    41.968
 40000.000       67.315    16.070    42.600
 42000.000       68.072    15.477    43.079
 44000.000       68.587    14.885    43.405
 46000.000       68.861    14.295    43.578
 48000.000       68.894    13.706    43.599
 50000.000       68.686    13.118    43.468
 52000.000       68.237    12.531    43.184
 54000.000       67.548    11.945    42.748
 56000.000       66.617    11.360    42.159
 58000.000       65.445    10.775    41.417
 60000.000       64.031    10.191    40.522
 62000.000       62.374     9.607    39.473
 64000.000       60.473     9.023    38.270
 66000.000       58.329     8.439    36.913
 68000.000       55.939     7.856    35.401
 70000.000       53.303     7.271    33.733
 72000.000       50.419     6.687    31.908
 74000.000       47.287     6.102    29.926
 76000.000       43.905     5.517    27.785
 78000.000       40.272     4.930    25.486
 80000.000       36.385     4.343    23.026
 82000.000       32.244     3.755    20.406
 84000.000       27.847     3.166    17.623
 86000.000       23.191     2.575    14.677
 88000.000       18.276     1.983    11.566
 90000.000       13.098     1.390     8.289
 92000.000        7.656     0.795     4.845
 94000.000        1.948     0.198     1.233
 94660.000        0.006     0.001     0.004
