57 7
 D1,мкм D2,мкм  D3,мкм  D4,мкм  Os,мкм   T,час  n,об/мин
 37.4   33.1    40.0    39.2    520.0     0      3213 
 41.1   33.0    40.7    41.0    520.0     0.1    3168
 87.9   73.5    91.3    93.8    559.0     0.3    4231
114.3   88.4   144.9   150.0    551.0     0.5    4605 
 35.9   32.0    35.4    35.9    488.0     1.8    3288
 73.5   64.0    73.2    79.6    553.0     2.0    4008
101.8   81.8   125.9   127.0    546.4     2.1    4485
 83.1   68.0   123.0   126.4    480.8     2.8    4404
 48.0   39.9    34.0    33.1    451.2     2.9    3552
 82.0   65.3   124.7   126.9    480.0     4.1    4512
 97.1   78.1   163.3   161.0    480.8     4.3    4723     
 87.0   67.0   126.7   126.4    488.0     6.15   4392
 70.6   59.0    82.1    85.9    456.0     7.6    4003
103.0   81.9   178.7   177.5    475.2     9.1    4538 
109.9   82.3   189.3   190.7    448.0    10.0    4622
 54.0   39.1   123.1   122.0    481.0    13.0    4603
 52.7   39.0   129.6   127.6    480.0    14.0    4560
 49.2   39.5   131.0   135.5    457.6    16.0    4615
 52.9   40.0   131.0   128.9    439.2    20.0    4608
 50.1   38.0   132.8   135.4    447.2    21.0    4624
 22.3   20.0    45.5    45.0    448.8    23.5    2676 
 44.0   36.0    84.0    83.1    442.4    25.5    4512
 61.1   53.7    97.2    98.0    456.0    35.5    4728
 59.0   48.9    90.2    90.8    442.4    38.5    4704
 61.0   49.5    96.1    95.0    416.8    40.0    4704
 61.1   50.0    95.1    96.6    418.4    40.5    4704
 46.0   38.2    30.1    32.0    455.2    44.0    4368
 47.0   40.0    34.9    34.1    464.0    44.2    4586
 48.0   41.0    32.7    33.0    472.0    44.3    4656
 46.0   41.0    32.9    33.0    471.2    45.0    4627
 54.0   47.1    48.2    48.0    459.2    46.5    4656
 52.0   43.9    38.2    38.8    456.0    51.0    4634
 44.7   38.0    28.0    28.1    455.2    51.5    4322  
 51.9   42.1    40.0    39.1    472.0    57.5    4504
 48.7   43.6    39.4    39.6    472.0    58.0    4584
 48.0   41.0    35.8    35.0    464.0    58.5    4564
 50.0   43.8    42.6    44.9    456.0    59.0    4665
 47.9   41.7    30.0    36.3    456.8    59.5    4653
 47.1   40.0    32.0    30.9    480.0    71.0    4653
 46.5   40.1    30.1    31.0    448.0    85.0    4634
 46.0   41.0    28.8    28.3    472.0    87.5    4634
 45.4   40.8    34.1    34.0    463.2    88.0    4656   
 47.0   40.2    33.9    35.0    440.0    91.0    4680
 46.9   41.0    38.1    38.0    432.0    96.0    4665
 48.1   41.0    35.0    34.4    432.0    99.0    4680
 48.3   41.0    34.1    36.2    432.0   101.0    4680
 48.9   42.9    34.9    36.6    427.2   101.5    4656
 50.0   42.3    33.9    34.0    437.6   104.0    4658
 49.6   42.2    34.8    35.1    440.0   104.5    4663
 51.1   43.4    38.9   -18.5    432.0   105.5    4680
 48.3   42.6    38.6    38.6    432.8   107.5    4658
 49.9   43.0    36.0    39.0    422.4   108.5    4656
 52.0   45.1    49.0    48.5    447.2   108.6    4920
 67.2   49.3   116.9   -18.3    500.0   118.5    4653
 66.0   49.1   120.9   120.1    500.8   120.0    4656
 54.1   43.1   128.2   134.0    472.0   120.5    4656
 37.3   30.9    45.1    45.2    439.2   121.0    3768

