label Annual Traffic Deaths, USA, 1925-1984
range 1920 5000 1990 60000
left ticks 10000 30000 50000
bottom ticks 1930 1940 1950 1960 1970 1980

1925 21800
1930 31050
1935 36369

1940 33000
1945 27500
1947 33000
1948 30000
1949 30000
1950 33000
1952 39000
1953 39000
1954 36000
1955 39000
1956 39000
1957 39000
1958 36000
1959 39000
1960 39000
1961 39000
1962 42000
1963 45000
1964 48000
1965 50000
1966 53000
1967 53000
1968 56000
1969 56000
1970 56000
1971 56000
1972 58000
1973 56000
1974 46000
1975 46000
1976 46000
1977 50000
1978 52000
1979 52000
1980 52000

1981 51500
1982 46000
1983 44600
1984 46200

