00index.txt           0  
3dmaze.zip        59197  Generates 3-D mazes with solutions
apple.zip         70401  Apple Set Viewer (w/source)
asg11.zip        219936  Generate stereograms from a grayscale image
blankr43.zip     263313  Screen Blanker v4.3
bmpgif2.zip       10994  Command line BMP to GIF converter
chartbl.zip       41355  Display & print character tables of outline fonts
deskext.zip       35328  How to create Deskpic screen blankers
divedemo.zip     101524  Example of dive in action
dkbos2.zip       305662  Dkbtrace raytracer 2.12 for OS/2 2.0
dkbpm2.zip       451926  Integrated graphical interface for DKB ray tracer
edgefx.zip        38779  Display marquee-style lights on your desktop
elephant.zip      11050  Icon-size animated dancing elephant
fbmp.zip          12930  Freeware 256-color PM bitmap viewer, source included
galler21.zip     518002  Galleria and Galleria/CM, a bitmap editor/converter
gbm.zip          497773  Generalized Bitmap Module (binaries)
gbmsrc.zip       253913  Generalized Bitmap Module (source)
gif3210a.zip      69404  32bit SVGA GIF viewer. Multithreaded, with look-ahead
giftops2.zip      25820  GIF to PS converter
gle33pm.zip     1773545  GLE, high-quality graphics program for scientists
graph3.zip        38742  Simple XY plotting program for PM v3.0
grx01b.zip        36467  Easy ASCII data plotting utility for PM
hexmaze.zip       67865  Display mazes with hexagonal rooms (PM)
imgarc13.zip      88004  Image Archiver - JPEG converter/viewer v1.03
imgtkit2.zip      77353  IBM Image Toolkit for OS/2
imshow.zip        87242  BMP/GIF/IM viewer with palette manager support
irit40e1.zip     623965  IRIT 4.0 solid modeler (part 1 of 2)
irit40e2.zip    1291819  IRIT 4.0 solid modeler (part 2 of 2)
irit40i.zip      650165  GIF images from IRIT 4.0 solid modeler
irit_os2.zip     428073  IRIT solid modeller for OS/2 2.0
jovw122b.zip     352488  Image viewer withing printing, clipboard & slideshow
jpegv4.zip       100148  JPEG version 4.0 image compression software
life.zip          38355  Game of life, with source
magnify2.zip      34154  Screen Magnifier, require Image Toolkit (imgtkit2)
mazelock.zip      22023  Mouse and keyboard lock / screen saver
mpegplay.zip      97028  Full-screen 320x200 MPEG animation player
myplot19.zip      56064  A simple and quick XY Pm plotting program
nikon214.zip     110093  Nikon II, WPS screen capture program, version 1.4
os2magni.zip      34274  OS/2 magnification glass utility - from DAP CD
os2maze.zip       48412  Display 3D mazes without using PM
pbmplus.zip     1374839  PBMPLUS image format conversion utilities
pcd15.zip         95646  Show photo-CDs in a fullscreen session
pmanim.zip       138622  PM animation examples
pmdraw2.zip     1229115  PM Draw image editing software
pmfra2.zip       386604  FRACTINT version 17.2 fractal generation engine
pmjpg163.zip     206541  GIF/BMP/JPEG/PCX/Targa/TIFF viewer/converter
pmpovf.zip       652808  POVFrame, a PM shell for POV-Ray
pmvu86b.zip      270991  PMView 0.86b: Fast image/slideshow viewer for OS/2 PM
pmxeyes2.zip      30943  PMxEyes v2.0, eyes glancing at your pointer
pov22f.zip       559244  Persistence of Vision Ray Tracer (POV-Ray) v2.2
povpan10.zip     490011  POV-Ray Graphical Interface with Editor
povray2.zip      541966  Persistence of Vision Ray Tracer (POV-Ray) v2.0
povscn.zip       498563  Povray 2.0 example scene files
povscn22.zip     499735  Povray 2.2 example scene files
pvqos216.zip     137234  Persistence of Vision Quantiser Utils 1.6
pvquan16.zip     113106  Persistence of Vision Quantiser Utils (source)
rt.zip           375524  Andys CSG-RayTracer
s2f01.zip         22629  SBIG-ST4 to FITS image format converter
scale.zip          9305  Display grayscale using Palette Manager (source incl.)
shbmp212.zip      28659  ShowBMP - view BMP, ICO, or PTR files
show3d.zip        99687  Shows magic eye type 3D pictures (screen/printer)
splot122.zip    1114759  Presentation quality, XY scientific plotting program
ssaver15.zip     440687  Modular screen saver v1.5
stplot15.zip     120166  Create/print/export graphic plots from text files
stshow17.zip     157368  View/convert/print BMp/PCX/GIF/PM/TGA files
view3d.zip       209187  Interactive 3D data set viewer/manipulator
