The following files are included in the VBIT v1.20 package:

FILENAME        SIZE    DESC
===========================================================================
VBIT.BAS        7985    Visual Basic DECLAREs for VBIT routines
VBIT.DLL       87984    Library of VBIT routines for Visual Basic
VBIT.HLP      101104    Windows Help File for VBIT release 1.20
VBIT.WRI       38912    VBIT tools documentation in Write 3.1 format
VBITABLE.WRI   39424    VBIT table documentation in Write 3.1 format
VBITFILE.WRI   12544    VBIT files documentation in Write 3.1 format
VBITVTSS.WRI    7424    VBIT Formula One connection documentation "
VBITVTSS.DLL   47440    Library for connecting to Visual Tools Formula One
VBITVTSS.BAS     523    Visual Basic DECLAREs for VBITVTSS routines
SAMPLE.BAS      4471    Visual Basic module w/some VBIT examples
README.TXT     19778    Description of the VBIT package (DOS TEXT)
PACKING.LST     1081    This file
DESC.SDI          64    Short description of VBIT for BBSes
FILE_ID.DIZ      497    Long description of VBIT for BBSes
