`<!--`,`-->`,`Comment tag`
`<BASE HREF=" ">`,``,`Document's base URL`
`<BIG>`,`</BIG>`,`Increased text size ( nesting OK!)`
`<BLOCKQUOTE>`,`</BLOCKQUOTE>`,`Long quotation`
`<CITE>`,`</CITE>`,`Short quotation`
`<CODE>`,`</CODE>`,`Sample code`
`<DD>`,`</DD>`,`Definition ( used in <dl> )`
`<DFN>`,`</DNF>`,`Denotes a defined term`
`<DIR>`,`</DIR>`,`Directory list (uses <li>)`
`<DIV ALIGN="CENTER">`,`</DIV>`,`Logical division ( for alignment )`
`<DL>`,`</DL>`,`Definition list ( uses <dt> & <dd> )`
`<DT>`,`</DT>`,`Definition term ( used in <dl> )`
`<FONT SIZE=+1>`,`</FONT>`,`Increase Font Size`
`<KBD>`,`</KBD>`,`Indicates keyboard input`
`<LINK>`,``,`Site structure`
`<MENU>`,`</MENU>`,`Menu item list (uses <li>)`
`<META NAME="generator" CONTENT="DiDa">`,``,`Generator Meta tag (used in HEAD)` 
`<META NAME="author" CONTENT=" ">`,``,`Author Meta tag (used in HEAD)`
`<META NAME="keywords" CONTENT="keyword, keyword, keyword">`,``,`Content Meta tag (used in HEAD)` 
`<META NAME="description"CONTENT=" ">`,``,`Description Meta tag (used in HEAD)`
`<SAMP>`,`</SAMP>`,`Sample code` 
`<SMALL>`,`</SMALL>`,`Decresed text size (nesting OK )`
`<STRIKE>`,`</STRIKE>`,`Strikethrough text`
`<SUB>`,`</SUB>`,`Subscript`
`<SUP>`,`</SUP>`,`Superscript`
`<TT>`,`</TT>`,`Teletype` 
`<VAR>`,`</VAR>`,`Variable notation` 
`<FONT COLOR=#RRGGBB>`,`</FONT>`,`Changes ont color`
